Price,Close,High,Low,Open,Volume
Ticker,LIQUIDBEES.NS,LIQUIDBEES.NS,LIQUIDBEES.NS,LIQUIDBEES.NS,LIQUIDBEES.NS
Date,,,,,
2018-11-02,774.52587890625,774.5336317287683,774.5181260837317,774.52587890625,0
2018-11-05,774.517822265625,774.5333279045794,771.1951245668942,774.5255750851022,0
2018-11-06,774.52587890625,774.5336317287683,774.5181260837317,774.5181260837317,0
2018-11-07,774.5413818359375,776.074927943337,773.7513503147642,774.518123368464,0
2018-11-09,774.517822265625,774.5333279045794,771.776018748208,774.5255750851022,0
2018-11-12,774.52587890625,774.5336317287683,773.7591058498621,773.7591058498621,0
2018-11-13,774.517822265625,774.5333279045794,774.517822265625,774.5255750851022,0
2018-11-14,774.52587890625,774.5336317287683,774.5181260837317,774.52587890625,0
2018-11-15,774.52587890625,774.5336317287683,774.5181260837317,774.52587890625,0
2018-11-16,774.52587890625,774.5336317287683,774.479409244448,774.5103732612133,0
2018-11-19,774.52587890625,774.5336317287683,774.5181260837317,774.52587890625,0
2018-11-20,774.52587890625,774.5336317287683,774.5181260837317,774.5181260837317,0
2018-11-21,774.517822265625,774.5333279045794,774.517822265625,774.517822265625,0
2018-11-22,774.52587890625,774.5336317287683,774.5181260837317,774.5181260837317,0
2018-11-26,774.517822265625,774.5333279045794,773.7588023294943,774.5255750851022,0
2018-11-27,774.517822265625,774.5333279045794,774.517822265625,774.5255750851022,0
2018-11-28,774.52587890625,774.5336317287683,774.5181260837317,774.5181260837317,0
2018-11-29,774.52587890625,774.5336317287683,774.5181260837317,774.5181260837317,0
2018-11-30,777.1822509765625,777.1900303887427,777.1744715643823,777.1822509765625,0
2018-12-03,777.1744384765625,777.1899973002604,777.1744384765625,777.1822178884115,0
2018-12-04,777.1744384765625,777.1899973002604,777.1744384765625,777.1744384765625,0
2018-12-05,777.1744384765625,777.1899973002604,776.412815082372,777.1744384765625,0
2018-12-06,777.1822509765625,777.1900303887427,777.1744715643823,777.1744715643823,0
2018-12-07,777.1744384765625,777.1899973002604,777.1744384765625,777.1744384765625,0
2018-12-10,777.1822509765625,777.1900303887427,777.1744715643823,777.1822509765625,0
2018-12-11,777.1744384765625,777.1899973002604,777.1744384765625,777.1744384765625,0
2018-12-12,777.1744384765625,777.1899973002604,776.412815082372,776.412815082372,0
2018-12-13,777.1822509765625,777.1900303887427,777.1744715643823,777.1822509765625,0
2018-12-14,777.1822509765625,777.1900303887427,777.1744715643823,777.1822509765625,0
2018-12-17,777.1822509765625,777.1900303887427,777.1744715643823,777.1744715643823,0
2018-12-18,777.1822509765625,777.1900303887427,777.1744715643823,777.1822509765625,0
2018-12-19,777.1822509765625,777.1900303887427,777.1744715643823,777.1744715643823,0
2018-12-20,777.1822509765625,777.1900303887427,776.4050687255859,776.4050687255859,0
2018-12-21,777.1822509765625,777.1900303887427,776.4050687255859,777.1822509765625,0
2018-12-24,777.1822509765625,777.1900303887427,776.4128481377661,776.4128481377661,0
2018-12-26,777.1822509765625,777.1900303887427,776.4128481377661,777.1822509765625,0
2018-12-27,777.1822509765625,777.1900303887427,777.1744715643823,777.1822509765625,0
2018-12-28,777.1744384765625,777.1899973002604,777.1744384765625,777.1744384765625,0
2018-12-31,779.9398193359375,779.9554335218181,779.9398193359375,779.9476264288778,0
2019-01-01,779.9478759765625,779.9556830720007,779.9400688811243,779.9478759765625,0
2019-01-02,779.9478759765625,779.9556830720007,779.9400688811243,779.9400688811243,0
2019-01-03,779.9478759765625,779.9556830720007,779.9400688811243,779.9478759765625,0
2019-01-04,779.9478759765625,779.9556830720007,779.9400688811243,779.9478759765625,0
2019-01-07,779.9398193359375,779.9554335218181,779.1754858953893,779.9476264288778,0
2019-01-08,779.9478759765625,779.9556830720007,779.9400688811243,779.9478759765625,0
2019-01-09,779.9478759765625,779.9556830720007,779.2537109419256,779.9478759765625,0
2019-01-10,779.9478759765625,779.9556830720007,779.869900230661,779.9478759765625,0
2019-01-11,779.9478759765625,779.9556830720007,779.91669519905,779.9478759765625,0
2019-01-14,779.9398193359375,779.9554335218181,779.1754858953893,779.1754858953893,0
2019-01-15,779.9478759765625,779.9556830720007,779.9400688811243,779.9400688811243,0
2019-01-16,779.9478759765625,779.9556830720007,779.9400688811243,779.9400688811243,0
2019-01-17,779.9478759765625,779.9556830720007,779.9400688811243,779.9478759765625,0
2019-01-18,779.9478759765625,779.9556830720007,779.9400688811243,779.9478759765625,0
2019-01-21,779.9478759765625,779.9556830720007,779.2926988148763,779.36291506958,0
2019-01-22,779.9398193359375,779.9554335218181,779.9398193359375,779.9476264288778,0
2019-01-23,779.9398193359375,779.9554335218181,779.5654597086037,779.9476264288778,0
2019-01-24,779.9478759765625,779.9556830720007,779.5657091340124,779.9400688811243,0
2019-01-25,779.9478759765625,779.9556830720007,779.3707221650183,779.9478759765625,0
2019-01-28,779.9398193359375,779.9554335218181,779.5654597086037,779.9476264288778,0
2019-01-29,779.9398193359375,779.9554335218181,779.4484485229493,779.4484485229493,0
2019-01-30,779.9478759765625,779.9556830720007,779.9400688811243,779.9478759765625,0
2019-01-31,782.7010498046875,782.7088844587505,782.6932151506245,782.7010498046875,0
2019-02-01,782.7010498046875,782.7088844587505,782.6932151506245,782.7010498046875,0
2019-02-04,782.6931762695312,782.7088455768787,782.6618854271145,782.6618854271145,0
2019-02-05,782.7010498046875,782.7088844587505,782.6932151506245,782.7010498046875,0
2019-02-06,782.7010498046875,782.7088844587505,782.6932151506245,782.7010498046875,0
2019-02-07,782.7010498046875,782.7088844587505,782.176653477557,782.6932151506245,0
2019-02-08,782.7010498046875,782.7088844587505,782.6932151506245,782.7010498046875,0
2019-02-11,782.6931762695312,782.7088455768787,782.1922361571935,782.6931762695312,0
2019-02-12,782.7010498046875,782.7088844587505,782.3488247778192,782.3488247778192,0
2019-02-14,782.6931762695312,782.7088455768787,782.6931762695312,782.6931762695312,0
2019-02-15,782.7010498046875,782.7088844587505,782.3488247778192,782.6932151506245,0
2019-02-18,782.6931762695312,782.7088455768787,776.095012480122,776.095012480122,0
2019-02-19,782.7010498046875,782.7088844587505,782.3566594318821,782.7010498046875,0
2019-02-20,782.7010498046875,782.7088844587505,782.3723287400081,782.6932151506245,0
2019-02-21,782.7010498046875,782.7088844587505,782.3644940859451,782.6932151506245,0
2019-02-22,782.7010498046875,782.7088844587505,782.6932151506245,782.6932151506245,0
2019-02-25,782.6931762695312,782.7088455768787,782.3566205675077,782.701010923205,0
2019-02-26,782.7010498046875,782.7088844587505,782.6932151506245,782.6932151506245,0
2019-02-27,782.7010498046875,782.9749760632068,782.3957849299162,782.9749760632068,0
2019-02-28,785.1688842773438,785.1767436338514,785.1610249208361,785.1688842773438,0
2019-03-01,785.1688842773438,785.1767436338514,785.1610249208361,785.1688842773438,0
2019-03-05,785.160888671875,785.1766073821627,785.090250321375,785.129499174197,0
2019-03-06,785.1688842773438,785.1767436338514,785.1610249208361,785.1610249208361,0
2019-03-07,785.1688842773438,785.1767436338514,785.1610249208361,785.1688842773438,0
2019-03-08,785.160888671875,785.1766073821627,785.160888671875,785.160888671875,0
2019-03-11,785.160888671875,785.1766073821627,784.5798714659986,784.8154125058272,0
2019-03-12,785.160888671875,785.1766073821627,785.160888671875,785.1687480270189,0
2019-03-13,785.1688842773438,785.1767436338514,785.1610249208361,785.1610249208361,0
2019-03-14,785.1688842773438,785.1767436338514,784.5015098948702,785.1688842773438,0
2019-03-15,785.1688842773438,785.1767436338514,785.1610249208361,785.1688842773438,0
2019-03-18,785.160888671875,785.1766073821627,785.160888671875,785.160888671875,0
2019-03-19,785.160888671875,785.1766073821627,785.160888671875,785.1687480270189,0
2019-03-20,785.1688842773438,785.1767436338514,785.1610249208361,785.1688842773438,0
2019-03-22,785.1688842773438,785.1767436338514,785.1610249208361,785.1688842773438,0
2019-03-25,785.1688842773438,785.1767436338514,784.8155486948378,785.1688842773438,0
2019-03-26,785.160888671875,785.1766073821627,785.160888671875,785.160888671875,0
2019-03-27,785.160888671875,785.1766073821627,785.160888671875,785.1687480270189,0
2019-03-28,785.1688842773438,785.1767436338514,784.8234080513455,785.1688842773438,0
2019-04-01,787.8593139648438,787.867200251922,787.8514276777655,787.8514276777655,0
2019-04-02,787.851318359375,787.867090931343,787.851318359375,787.851318359375,0
2019-04-03,787.851318359375,787.867090931343,787.851318359375,787.859204645359,0
2019-04-04,787.851318359375,787.867090931343,787.3076935846852,787.851318359375,0
2019-04-05,787.851318359375,787.867090931343,787.851318359375,787.859204645359,0
