number,value,datetime_start,datetime_complete,duration,params_max_sector_weight,params_min_sector_weight,params_momentum_lookback,params_rs_lookback,params_top_n_sectors,params_trend_ma_period,params_use_trend_filter,params_volatility_window,params_weight_smoothing_alpha,state
46,0.4574720414945394,2026-02-06 02:31:18.315042,2026-02-06 02:31:19.434952,0 days 00:00:01.119910,0.35,0.03,30,100,4,20,False,40,0.30000000000000004,COMPLETE
47,0.4398850938868125,2026-02-06 02:31:19.435557,2026-02-06 02:31:22.136064,0 days 00:00:02.700507,0.35,0.03,25,100,3,20,False,40,0.30000000000000004,COMPLETE
48,0.45482561442059066,2026-02-06 02:31:22.136984,2026-02-06 02:31:24.067596,0 days 00:00:01.930612,0.3,0.03,30,100,4,20,False,22,0.30000000000000004,COMPLETE
49,0.3613968563894982,2026-02-06 02:31:24.068172,2026-02-06 02:31:26.601721,0 days 00:00:02.533549,0.25,0.03,20,100,3,20,False,40,0.30000000000000004,COMPLETE
50,0.21436439644808983,2026-02-06 02:31:26.602303,2026-02-06 02:31:27.871388,0 days 00:00:01.269085,0.3,0.03,30,20,2,20,False,28,0.30000000000000004,COMPLETE
51,0.453890871292469,2026-02-06 02:31:27.871960,2026-02-06 02:31:29.046881,0 days 00:00:01.174921,0.35,0.03,30,100,4,20,False,22,0.30000000000000004,COMPLETE
52,0.453890871292469,2026-02-06 02:31:29.047456,2026-02-06 02:31:30.200698,0 days 00:00:01.153242,0.35,0.03,30,100,4,20,False,22,0.30000000000000004,COMPLETE
53,0.43142843426597643,2026-02-06 02:31:30.201278,2026-02-06 02:31:31.962513,0 days 00:00:01.761235,0.3,0.03,30,90,4,20,False,16,0.30000000000000004,COMPLETE
54,0.39006700753931167,2026-02-06 02:31:31.963076,2026-02-06 02:31:33.039222,0 days 00:00:01.076146,0.35,0.03,25,100,4,20,False,28,0.30000000000000004,COMPLETE
55,0.453890871292469,2026-02-06 02:31:33.039782,2026-02-06 02:31:34.159427,0 days 00:00:01.119645,0.35,0.03,30,100,4,20,False,22,0.30000000000000004,COMPLETE
