parameter,value,wf_sharpe,wf_sortino,wf_calmar,wf_total_return,holdout_sharpe,holdout_sortino,holdout_calmar,holdout_total_return,holdout_max_drawdown
weight_smoothing_alpha,0.2,0.8974791546233405,1.1050417346459789,0.7763387860147636,1.686868315476596,-0.06908124850104037,-0.08197789139261195,0.15142420287445674,0.06835890447168547,-0.22198885503567545
weight_smoothing_alpha,0.3,0.9924754885344809,1.233516312386806,0.854646521683064,1.9004662507871535,-0.14344765665598738,-0.17161361139696676,0.10083921208138848,0.04757792045713294,-0.23316862522088677
weight_smoothing_alpha,0.4,1.0643469515537975,1.336548392998504,0.9381672985120617,2.092566967929206,-0.22942490487857975,-0.27651269105047815,0.04861043887060404,0.023804617490726265,-0.24341082441938133
weight_smoothing_alpha,0.5,1.1144119269000452,1.412744523085811,1.0155424917816143,2.2529253186489147,-0.3217818450387728,-0.3898118902852256,-0.0036373997856190606,-0.001834999929888892,-0.252356438323993
vol_window,30.0,0.6045295357773908,0.738547264643212,0.6330581025455723,1.0749603759569881,0.33171677901639535,0.41304127833858506,0.43492326148522686,0.18453751125079676,-0.20317286250261035
vol_window,40.0,0.6470668391987366,0.77932914430071,0.6090987165922376,1.1806637754442475,0.029296481288892437,0.03682251878090098,0.206946414661625,0.09428506494584288,-0.2226702595323401
vol_window,50.0,0.5636255074563757,0.6638042250458577,0.5413253008064831,1.0278991031357778,0.13031288984719316,0.1559929719374085,0.28345271452165866,0.12396415160634455,-0.21228145869786985
vol_window,60.0,0.7813329197984812,0.9614332316313505,0.7215344420770825,1.4723113000765036,-0.02234730608409207,-0.026706968025112146,0.18658409123875408,0.08187338546405765,-0.21508493435032616
vol_window,70.0,0.6985704324567406,0.8362312327349389,0.6147563188340223,1.2759558867700829,0.0769044010823823,0.09258226548161305,0.2648419832840215,0.10963298365320662,-0.20159637068478864
vol_window,80.0,0.6604879496698426,0.8174547666672219,0.6105061993575236,1.2048105652707815,0.10435265838461628,0.12493429587930084,0.2817523963802726,0.11684151217585015,-0.2016210913375983
vol_window,100.0,0.5353910399653912,0.6154032255847961,0.4140774273143028,0.9775110375965514,0.3892680349156152,0.4791362758731799,0.5514330613353249,0.20062938182511325,-0.17360647420496844
vol_percentile,0.05,0.8239891982219801,1.0731217962387298,0.8115307451447525,1.7419714728782467,0.09701332251211821,0.12119552871285197,0.2590402975122472,0.11387924239365432,-0.21388477814408868
vol_percentile,0.1,0.8823236947551615,1.1445220204847084,0.7941638736656899,1.8342931192152436,0.048882373865298805,0.06081156224540811,0.22697804569744806,0.09945112356609309,-0.21388477814408868
vol_percentile,0.15,0.7315287448464005,0.9070209459299822,0.6583830876092812,1.4025373100396825,-0.052260259803375265,-0.06394353511338771,0.16234063840405094,0.07174151707833998,-0.2171329091332339
vol_percentile,0.2,0.7676132758625555,0.9475473374230373,0.7221542612768594,1.4740905125987003,-0.04638946520230373,-0.05576274885378596,0.167769442500401,0.07417891282552191,-0.2171195665249398
vol_percentile,0.25,0.7813329197984812,0.9614332316313505,0.7215344420770825,1.4723113000765036,-0.02234730608409207,-0.026706968025112146,0.18658409123875408,0.08187338546405765,-0.21508493435032616
vol_percentile,0.3,0.7416684857827969,0.897610084797563,0.6820447267860232,1.361112618279432,-0.13298101911425944,-0.15726402153404498,0.11836036200572535,0.055144649611503116,-0.22982644411911157
