Date,Auto,Consumer,Oil & Gas (Energy),FMCG,IT,Media,Metal,Healthcare (Pharma),Realty,Finance,Benchmark
2015-07-16,8434.5498046875,3624.85009765625,8938.5,20445.80078125,11191.599609375,2332.39990234375,2217.199951171875,13060.349609375,180.9499969482422,19167.828125,8608.0498046875
2015-07-17,8473.900390625,3632.14990234375,8950.900390625,20575.849609375,11269.2001953125,2336.949951171875,2207.64990234375,13139.0,180.10000610351562,19094.4765625,8609.849609375
2015-07-20,8476.349609375,3641.89990234375,8960.75,20511.400390625,11266.9501953125,2366.5,2194.550048828125,13175.650390625,176.4499969482422,19032.478515625,8603.4501953125
2015-07-21,8440.4501953125,3610.75,8803.5498046875,20143.05078125,11655.4501953125,2379.050048828125,2169.89990234375,12255.2998046875,172.35000610351562,18723.18359375,8529.4501953125
2015-07-22,8538.7998046875,3656.25,9055.400390625,20310.19921875,11643.75,2428.949951171875,2189.85009765625,12377.7001953125,174.0500030517578,18996.779296875,8633.5
2015-07-23,8581.349609375,3641.0,9045.0,20272.80078125,11558.7001953125,2386.25,2180.10009765625,12275.400390625,174.1999969482422,18864.78125,8589.7998046875
2015-07-24,8472.0498046875,3638.5,8936.75,20303.75,11464.150390625,2362.550048828125,2151.64990234375,12226.0498046875,171.5500030517578,18635.6328125,8521.5498046875
2015-07-27,8305.650390625,3593.0,8747.0,20151.30078125,11362.4501953125,2385.39990234375,2103.85009765625,12056.900390625,167.0500030517578,18212.83984375,8361.0
2015-07-28,8259.5,3567.949951171875,8757.900390625,20153.5,11306.25,2364.699951171875,2093.14990234375,11917.150390625,162.4499969482422,18282.587890625,8337.0
2015-07-29,8368.900390625,3581.89990234375,8669.099609375,19975.94921875,11470.7001953125,2428.550048828125,2097.949951171875,11978.400390625,164.5500030517578,18323.1875,8375.0498046875
2015-07-30,8387.5,3627.800048828125,8716.0498046875,20544.05078125,11394.5498046875,2428.0,2095.699951171875,12073.099609375,171.3000030517578,18440.185546875,8421.7998046875
2015-07-31,8544.849609375,3681.60009765625,8711.849609375,20920.44921875,11594.150390625,2452.14990234375,2128.64990234375,12353.25,176.5500030517578,18729.6328125,8532.849609375
2015-08-03,8609.650390625,3678.14990234375,8698.400390625,20991.5,11466.400390625,2474.64990234375,2109.35009765625,12379.5,176.8000030517578,18914.478515625,8543.0498046875
2015-08-04,8703.599609375,3675.14990234375,8609.2001953125,20922.0,11415.5498046875,2472.75,2167.699951171875,12361.9501953125,176.1999969482422,18972.37890625,8516.900390625
2015-08-05,8795.4501953125,3724.449951171875,8629.7001953125,21117.80078125,11618.0,2521.25,2166.5,12572.5498046875,181.60000610351562,18928.330078125,8567.9501953125
2015-08-06,8796.9501953125,3720.64990234375,8593.5,20941.19921875,11616.5,2515.949951171875,2154.39990234375,12697.5,182.9499969482422,19029.12890625,8588.650390625
2015-08-07,8803.0,3705.10009765625,8662.7001953125,20900.94921875,11597.0498046875,2491.550048828125,2131.949951171875,12641.0498046875,182.75,18893.33203125,8564.599609375
2015-08-10,8745.599609375,3697.14990234375,8537.25,20789.55078125,11573.900390625,2492.949951171875,2109.800048828125,12638.599609375,183.64999389648438,18874.78125,8525.599609375
